Habitat ,Sub type,Carbon stored (t C ha-1) 
Woodland ,100 year Mixed native broadleaved woodland on mineral soil (to 1m) ,354
Woodland ,100 year Mixed native broadleaved woodland (to 15cm soil depth) ,354
Woodland ,30 year mixed broadleaved native woodland on mineral soil (to 1m) ,255
Woodland ,30 year mixed broadleaved native woodland (to 15cm soil depth) ,169
Hedgerow ,Minimal/ Un manged Hedgerows ,144.5
Orchards ,Traditional Orchards ,95.15
Heathlands ,Upland & lowland Heathland ,100
Semi-natural grasslands ,Acid grassland (without vegetation) ,87
Semi-natural grasslands ,Calcareous grassland ,69
Semi-natural grasslands ,Neutral grassland ,60
Farmland ,Arable / cultivated land ,120
Farmland ,Improved grassland ,130
Farmland ,Intensive grassland on deep peat soils ,1980
Farmland ,Arable on deep peat soils ,1980
Peatland ,Blanket Bog 200cm,799
Peatland ,Blanket Bog 50cm,259
Peatland ,Raised Bog ,1610
Peatland ,Fens (on deep peat),1971
Coastal Habitats ,Sand dunes ,0.0145
Coastal Habitats ,Saltmarsh ,56.6
Marine Habitats ,Intertidal sediments (sandflats and mudflats) ,12
Marine Habitats ,Seagrass ,39.3
Marine Habitats ,Kelp ,6.7
Marine Habitats ,Subtidal sediment (mud),55
Marine Habitats ,Subtidal sediment (sand),18
