Habitat,Subtype,Distinctiveness_score,Difficulty of creation or accelerated succession,Difficulty of Enhancement or restoration,Time to target condition for habitat creation - Good,Time to target condition for habitat creation - Fairly Good,Time to target condition for habitat creation - Moderate,Time to target condition for habitat creation - Fairly Poor,Time to target condition for habitat creation - Poor,Time to target condition for habitat creation - N/A Agricultural,Time to target condition for habitat creation - N/A Other,Time to target condition for elevation to higher distinctiveness habitat - N/A Other,Time to target condition for elevation to higher distinctiveness habitat - N/A Agricultural,Time to target condition for elevation to higher distinctiveness habitat - Poor,Time to target condition for elevation to higher distinctiveness habitat - Fairly Poor,Time to target condition for elevation to higher distinctiveness habitat - Moderate,Time to target condition for elevation to higher distinctiveness habitat - Fairly Good,Time to target condition for elevation to higher distinctiveness habitat - Good,Time to target condition for distinctiveness unchanged - Poor - Fairly Poor,Time to target condition for distinctiveness unchanged - Poor - Moderate,Time to target condition for distinctiveness unchanged - Poor - Fairly Good,Time to target condition for distinctiveness unchanged - Poor - Good,Time to target condition for distinctiveness unchanged - Fairly Poor - Moderate,Time to target condition for distinctiveness unchanged - Fairly Poor - Fairly Good,Time to target condition for distinctiveness unchanged - Fairly Poor - Good,Time to target condition for distinctiveness unchanged - Moderate - Fairly Good,Time to target condition for distinctiveness unchanged - Moderate - Good,Time to target condition for distinctiveness unchanged - Fairly Good - Good
Farmland,Arable field margins cultivated annually,4,1,1,0.965,0.965,0.965,0.965,0.965,0.965,999,-,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965
Farmland,Arable field margins game bird mix,4,1,1,0.965,0.965,0.965,0.965,0.965,0.965,999,-,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965
Farmland,Arable field margins pollen & nectar,4,1,1,0.965,0.965,0.965,0.965,0.965,0.965,999,-,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965
Farmland,Arable field margins tussocky,4,1,1,0.837,0.867,0.899,0.931,0.965,0.965,999,-,0.965,0.965,0.931,0.899,0.867,0.837,0.965,0.931,0.899,0.837,0.965,0.931,0.899,0.965,0.931,0.965
Farmland,Cereal crops,2,1,1,0.965,0.965,0.965,0.965,0.965,0.965,999,-,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965
Farmland,Cereal crops other,2,1,1,0.965,0.965,0.965,0.965,0.965,0.965,999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Farmland,Cereal crops winter stubble,4,1,1,0.965,0.965,0.965,0.965,0.965,0.965,999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Farmland,Horticulture,2,1,1,0.965,0.965,0.965,0.965,0.965,0.965,999,-,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965
Farmland,Intensive orchards,2,1,1,0.965,0.965,0.965,0.965,0.965,0.965,999,-,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965
Farmland,Non-cereal crops,2,1,1,0.965,0.965,0.965,0.965,0.965,0.965,999,-,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965
Farmland,Temporary grass & clover leys,2,1,1,0.965,0.965,0.965,0.965,0.965,0.965,999,-,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965
Farmland,Traditional orchards,6,1,0.67,0.343,0.41,0.49,0.7,0.837,999,999,-,-,0.837,0.7,0.49,0.41,0.343,0.837,0.586,0.49,0.41,0.7,0.586,0.49,0.837,0.7,0.837
Semi-natural grasslands,Bracken,4,1,1,0.837,0.867,0.899,0.931,0.965,999,999,-,-,0.965,0.931,0.899,0.867,0.837,0.965,0.931,0.899,0.837,0.965,0.931,0.899,0.965,0.931,0.965
